Year,2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (heads),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste),2021 (kg live),2021 (kg carcass),2021 (kg slaugther waste),2021 (kg P live),2021 (kg P carcass),2021 (kg P slaugther waste)
2425,79317.86179854728,864.0500096419618,65.87041203316835,1750.2973981729529,495.45730626364923,2124856.172526837,39247.62137815774,1031.6723018576847,11167952.54130212,8934362.033041697,2233590.5082604233,59413.50751972728,47530.80601578183,11882.70150394545,37003.880847710105,17021.785189946648,19982.095657763457,192.42018040809256,88.51328298772258,103.90689742036999,1869.4022935013177,934.7011467506588,934.7011467506588,11.777234449058302,5.888617224529151,5.888617224529151,513875.8316914392,282631.7074302916,231244.12426114763,4111.006653531514,2261.0536594423324,1849.9529940891814,376994.2161557717,184727.16591632811,192267.05023944358,2789.7571995527105,1366.981027780828,1422.7761717718824,5048055.228514495,3634599.7645304366,1413455.4639840587,25240.276142572475,18172.998822652182,7067.277319920294,355351.92377373535,273620.9813057762,81730.94246795913,1812.2948112460501,1395.4670046594588,416.82780658659163,2433.1893911737848,1289.590377322106,1143.5990138516788,14.599136347042709,7.737542263932636,6.861594083110073
2426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2437,133236.183582953,1451.4098476570034,110.6474898759401,2940.1063036725445,832.256935802422,3569280.8740759785,65927.18422510766,1732.9776306485826,18759650.617131088,15007720.493704872,3751930.1234262157,99801.34128313739,79841.07302650993,19960.268256627467,62158.2043453108,28592.773998842968,33565.43034646783,323.22266259561616,148.68242479398342,174.5402378016327,3140.17576267918,1570.08788133959,1570.08788133959,19.783107304878833,9.891553652439416,9.891553652439416,863195.919526631,474757.7557396471,388438.16378698393,6905.567356213049,3798.062045917177,3107.5053102958714,633265.5653403131,310300.1270167534,322965.4383235597,4686.1651835183175,2296.2209399239755,2389.9442435943415,8479598.389470978,6105310.840419103,2374287.5490518743,42397.99194735489,30526.554202095518,11871.43774525937,596911.3775749824,459621.76073273644,137289.61684224592,3044.2480256324097,2344.070979736956,700.1770458954542,4087.2113930391097,2166.2220383107283,1920.9893547283814,24.52326835823466,12.99733222986437,11.525936128370288
2438,97142.10040496239,1058.2185511345374,80.6727518159028,2143.622656189347,606.7960267723344,2602351.941633991,48067.311575496555,1263.5087741852542,13677604.797774507,10942083.838219605,2735520.9595549013,72764.85752416038,58211.8860193283,14552.971504832076,45319.35968989214,20846.905457350385,24472.454232541753,235.66067038743913,108.403908378222,127.25676200921713,2289.4926965353216,1144.7463482676608,1144.7463482676608,14.423803988172526,7.211901994086263,7.211901994086263,629353.5466782795,346144.45067305374,283209.0960052258,5034.828373426236,2769.1556053844297,2265.672768041806,461712.0175390911,226238.88859415465,235473.12894493647,3416.668929789274,1674.1677755967444,1742.5011541925298,6182449.661888538,4451363.756559747,1731085.9053287907,30912.24830944269,22256.818782798735,8655.429526643953,435206.28866670956,335108.84227336635,100097.44639334321,2219.552072200219,1709.0550955941685,510.4969766060504,2979.9735240218256,1579.3859677315677,1400.587556290258,17.879841144130953,9.476315806389406,8.403525337741547
2439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2442,2228.0298258018897,24.27106768657196,1.8502924728418075,49.16565725204924,13.917340063585653,59686.97113839429,1102.4612746673522,28.9795590409462,313706.53205904836,250965.2256472387,62741.306411809666,1668.9187505541372,1335.1350004433098,333.78375011082744,1039.4348552727556,478.1400334254676,561.294821847288,5.40506124741833,2.486328173812432,2.918733073605898,52.51130037925049,26.255650189625246,26.255650189625246,0.3308211923892781,0.16541059619463905,0.16541059619463905,14434.714373355033,7939.092905345269,6495.621468009764,115.47771498684027,63.512743242762156,51.96497174407811,10589.725172914936,5188.965334728318,5400.759838186617,78.36396627957052,38.39834347698955,39.96562280258097,141799.30417175547,102095.49900366394,39703.80516809154,708.9965208587773,510.4774950183197,198.5190258404577,9981.79561162178,7685.98262094877,2295.812990673009,50.907157619271075,39.19851136683873,11.708646252432347,68.34801660600517,36.224448801182746,32.12356780482243,0.41008809963603104,0.21734669280709645,0.19274140682893456
2443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2445,43669.38458571704,475.71292665681045,36.26573246769943,963.6468821401651,272.7798652462788,1169864.6343125282,21608.240983480104,567.9993572025454,6148648.0283573475,4918918.422685878,1229729.6056714691,32710.80751086109,26168.646008688873,6542.1615021722155,20372.92316334601,9371.544655139165,11001.378508206846,105.93920044939927,48.73203220672366,57.2071682426756,1029.2214874333097,514.6107437166548,514.6107437166548,6.484095370829851,3.2420476854149256,3.2420476854149256,282920.4017177586,155606.22094476726,127314.18077299136,2263.363213742069,1244.8497675581382,1018.5134461839309,207558.61338913272,101703.72056067504,105854.89282845768,1535.9337390795822,752.6075321489952,783.3262069305867,2779266.3617664077,2001071.7804718134,778194.5812945943,13896.33180883204,10005.358902359067,3890.9729064729718,195643.19398778686,150645.2593705959,44997.93461719097,997.780289337713,768.2908227900391,229.48946654767394,1339.6211254777015,709.9991965031818,629.6219289745197,8.03772675286621,4.259995179019091,3.7777315738471184
2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
